text,kategori
"Produk ini sangat bagus dan berkualitas tinggi!",review_produk
"Pelayanan customer service sangat mengecewakan",layanan
"Harga produk ini cukup standar untuk kualitasnya",harga
"Saya sangat puas dengan pembelian ini, recommended!",review_produk
"Pengiriman lambat dan produk tidak sesuai ekspektasi",pengiriman
"Aplikasi ini mudah digunakan dan fiturnya lengkap",aplikasi
"Website sering error dan susah diakses",website
"Tim support sangat responsif dan membantu",layanan
"Produk OK lah, tidak istimewa tapi juga tidak buruk",review_produk
"Kecewa banget sama kualitas produknya, uang terbuang",review_produk
"Fitur barunya keren, tapi masih ada bug",aplikasi
"Promo yang ditawarkan menarik dan menguntungkan",promo
"Kemasan produk rusak saat sampai di rumah",pengiriman
"Staff toko ramah dan informatif",layanan
"Produk sesuai foto dan deskripsi",review_produk
